nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.314921	297.835000	-0.829303	54.063900
Bcobertura9Zona1ext	0.159498	297.842000	-0.445168	85.644000
Bcobertura13Zona1ext	0.126798	297.950000	-0.343220	-118.261000
Bcobertura14Zona1ext	0.193053	297.836000	-0.531297	34.048000
Bcobertura15Zona1ext	0.144193	297.972000	-0.403240	-106.443000
Bcobertura16Zona1ext	0.001176	298.062000	-0.003950	-168.795000
Bcobertura17Zona1ext	0.132726	297.924000	-0.359897	-74.880300
Bfachada0Zona2ext	0.133539	298.028000	-0.388020	-241.760000
Bfachada2Zona2ext	0.000171	297.942000	-0.000638	-124.942000
Bfachada0Zona3ext	0.108839	298.094000	-0.318861	-332.366000
Bfachada2Zona3ext	0.000015	298.091000	-0.000055	-339.443000
Bfachada0Zona4ext	0.053952	298.126000	-0.159522	-372.929000
Bfachada2Zona4ext	0.000055	298.141000	-0.000170	-382.416000
Bfachada0Zona5ext	0.003189	298.143000	-0.004769	-396.554000
Bfachada2Zona5ext	0.000042	298.144000	-0.000131	-397.208000
Bcobertura4Zona5ext	0.000000	298.144000	-0.000001	-405.693000
Bfachada1Zona6ext	0.006109	298.103000	-0.004988	-114.918000
Bfachada3Zona6ext	0.524474	297.958000	-1.277770	-119.709000
Bfachada1Zona7ext	0.000000	298.129000	-0.000000	-324.614000
Bfachada3Zona7ext	0.494900	298.046000	-1.248650	-339.669000
Bfachada1Zona8ext	0.000000	298.139000	-0.000000	-372.808000
Bfachada3Zona8ext	0.253662	298.097000	-0.670768	-384.561000
Bfachada1Zona9ext	0.000000	298.142000	-0.000000	-397.273000
Bfachada3Zona9ext	0.033332	298.135000	-0.101590	-400.172000
Bcobertura4Zona9ext	0.000000	298.143000	-0.000000	-404.383000
Bfachada0Zona10ext	0.161087	298.083000	-0.376791	-316.954000
Bfachada5Zona10ext	0.331298	298.065000	-0.840088	-324.958000
Bfachada6Zona10ext	0.066116	298.101000	-0.184643	-335.609000
Bcobertura7Zona10ext	0.000000	298.144000	-0.000000	-406.638000
Bfachada0Zona11ext	0.001624	298.118000	-0.005438	-336.606000
Bfachada5Zona11ext	0.255922	298.066000	-0.674750	-318.509000
Bfachada6Zona11ext	0.012325	298.111000	-0.036154	-346.986000
Bcobertura7Zona11ext	0.000000	298.142000	-0.000000	-406.496000
Bfachada0Zona12ext	0.075816	298.088000	-0.189488	-324.871000
Bfachada1Zona12ext	0.001844	298.108000	-0.004541	-332.691000
Bfachada2Zona12ext	0.024440	298.122000	-0.067689	-303.108000
Bcobertura7Zona12ext	0.000000	298.143000	-0.000000	-405.183000
Bfachada0Zona13ext	0.000046	298.119000	-0.000089	-333.501000
Bfachada1Zona13ext	0.006270	298.112000	-0.015394	-336.455000
Bfachada2Zona13ext	0.102435	298.086000	-0.264312	-323.688000
Bcobertura7Zona13ext	0.000000	298.143000	-0.000000	-403.438000

