[Cidade: Rio de Janeiro]
[Mês]	[Dia]	[Hora]	[Temp]	[Umi]	[Rad.Dir.]	[Rad.Dif.]	[Dir.Vento]	[Vel.Vento]
1	1	0	 24.000	 0.940	 0.000	 0.000	 200.000	 2.800
1	1	1	 25.000	 0.830	 0.000	 0.000	 0.000	 0.000
1	1	2	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	1	3	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	1	4	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	1	5	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	1	6	 24.000	 0.940	 0.000	 19.000	 0.000	 0.000
1	1	7	 24.000	 0.940	 16.000	 89.000	 0.000	 0.000
1	1	8	 25.000	 0.940	 6.000	 131.000	 0.000	 0.000
1	1	9	 25.000	 0.940	 55.000	 229.000	 0.000	 0.000
1	1	10	 27.000	 0.840	 318.000	 487.000	 0.000	 0.000
1	1	11	 28.000	 0.740	 191.000	 588.000	 0.000	 0.000
1	1	12	 28.000	 0.740	 543.000	 320.000	 170.000	 3.600
1	1	13	 28.000	 0.740	 439.000	 387.000	 180.000	 4.100
1	1	14	 28.000	 0.740	 842.000	 162.000	 160.000	 5.100
1	1	15	 27.000	 0.790	 729.000	 231.000	 160.000	 4.600
1	1	16	 26.000	 0.840	 588.000	 155.000	 180.000	 4.100
1	1	17	 26.000	 0.840	 495.000	 132.000	 180.000	 4.100
1	1	18	 26.000	 0.840	 82.000	 112.000	 160.000	 3.600
1	1	19	 26.000	 0.790	 2.000	 7.000	 150.000	 4.100
1	1	20	 24.000	 0.940	 0.000	 0.000	 170.000	 4.100
1	1	21	 24.000	 0.940	 0.000	 0.000	 170.000	 2.800
1	1	22	 24.000	 0.940	 0.000	 0.000	 180.000	 1.500
1	1	23	 24.000	 0.940	 0.000	 0.000	 180.000	 2.600
1	2	0	 23.000	 0.940	 0.000	 0.000	 180.000	 1.500
1	2	1	 23.000	 0.940	 0.000	 0.000	 180.000	 0.700
1	2	2	 23.000	 0.940	 0.000	 0.000	 0.000	 0.000
1	2	3	 23.000	 0.940	 0.000	 0.000	 0.000	 0.000
1	2	4	 22.000	 0.940	 0.000	 0.000	 180.000	 2.600
1	2	5	 22.000	 0.940	 0.000	 0.000	 200.000	 1.500
1	2	6	 24.000	 0.890	 132.000	 18.000	 210.000	 1.500
1	2	7	 24.500	 0.860	 273.000	 97.000	 210.000	 2.000
1	2	8	 25.000	 0.830	 166.000	 148.000	 180.000	 2.600
1	2	9	 25.000	 0.830	 217.000	 176.000	 160.000	 2.600
1	2	10	 25.000	 0.830	 447.000	 195.000	 180.000	 2.600
1	2	11	 26.000	 0.790	 524.000	 372.000	 180.000	 2.600
1	2	12	 27.000	 0.740	 565.000	 417.000	 180.000	 3.400
1	2	13	 27.500	 0.720	 472.000	 446.000	 180.000	 4.300
1	2	14	 28.000	 0.700	 107.000	 152.000	 180.000	 5.100
1	2	15	 27.000	 0.740	 407.000	 340.000	 180.000	 5.100
1	2	16	 27.000	 0.740	 693.000	 174.000	 180.000	 4.100
