nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.219488	297.803000	-0.586219	126.950000
Bcobertura9Zona1ext	0.085090	297.832000	-0.231644	125.632000
Bcobertura13Zona1ext	0.134914	297.934000	-0.369488	-93.231900
Bcobertura14Zona1ext	0.261698	297.807000	-0.706658	62.129200
Bcobertura15Zona1ext	0.018831	298.016000	-0.053904	-124.081000
Bcobertura16Zona1ext	0.000025	298.048000	-0.000097	-148.112000
Bcobertura17Zona1ext	0.181648	297.920000	-0.487899	-83.907900
Bfachada0Zona2ext	0.022138	298.040000	-0.052898	-225.217000
Bfachada2Zona2ext	0.455157	297.953000	-1.174180	-101.428000
Bfachada0Zona3ext	0.000083	298.110000	-0.000265	-324.141000
Bfachada2Zona3ext	0.416506	298.053000	-1.124960	-323.736000
Bfachada0Zona4ext	0.000000	298.133000	-0.000000	-365.173000
Bfachada2Zona4ext	0.098142	298.124000	-0.284815	-378.948000
Bfachada0Zona5ext	0.000000	298.140000	-0.000000	-388.305000
Bfachada2Zona5ext	0.000378	298.143000	-0.001313	-395.487000
Bcobertura4Zona5ext	0.000000	298.143000	-0.000000	-398.413000
Bfachada1Zona6ext	0.000000	298.100000	-0.000000	-239.420000
Bfachada3Zona6ext	0.194568	297.967000	-0.419316	-94.068900
Bfachada1Zona7ext	0.000000	298.130000	-0.000000	-321.588000
Bfachada3Zona7ext	0.313532	298.068000	-0.777517	-333.497000
Bfachada1Zona8ext	0.000000	298.138000	-0.000000	-362.075000
Bfachada3Zona8ext	0.235289	298.104000	-0.632541	-383.552000
Bfachada1Zona9ext	0.000000	298.141000	-0.000000	-385.632000
Bfachada3Zona9ext	0.011689	298.140000	-0.036846	-397.241000
Bcobertura4Zona9ext	0.000000	298.142000	-0.000000	-397.017000
Bfachada0Zona10ext	0.214385	298.063000	-0.576290	-303.688000
Bfachada5Zona10ext	0.002555	298.118000	-0.007033	-326.324000
Bfachada6Zona10ext	0.260526	298.077000	-0.685161	-325.737000
Bcobertura7Zona10ext	0.000000	298.143000	-0.000000	-399.213000
Bfachada0Zona11ext	0.000012	298.116000	-0.000037	-327.199000
Bfachada5Zona11ext	0.268481	298.066000	-0.671363	-303.070000
Bfachada6Zona11ext	0.214657	298.089000	-0.568763	-330.092000
Bcobertura7Zona11ext	0.000000	298.142000	-0.000000	-397.703000
Bfachada0Zona12ext	0.191182	298.082000	-0.508211	-313.929000
Bfachada1Zona12ext	0.003731	298.113000	-0.011292	-323.648000
Bfachada2Zona12ext	0.054697	298.107000	-0.147904	-324.338000
Bcobertura7Zona12ext	0.000000	298.142000	-0.000000	-396.807000
Bfachada0Zona13ext	0.000000	298.120000	-0.000001	-325.676000
Bfachada1Zona13ext	0.006984	298.100000	-0.015621	-328.336000
Bfachada2Zona13ext	0.038695	298.090000	-0.091168	-312.951000
Bcobertura7Zona13ext	0.000000	298.142000	-0.000000	-396.291000

